가구번호,지역코드,만족도,지출비용,숙박시설_숙박하지않음,숙박시설_호텔,숙박시설_펜션,숙박시설_민박,여행지선택이유1,여행지선택이유2,여행지선택이유3,활동_자연풍경,활동_음식관광,활동_야외스포츠,활동_휴식휴양,활동_성지순례,활동_갬블링
A05469,931,3,,,,,,13,14,7,1,,3,4,,
A05470,935,3,121074.476,,2,,,2,15,,,,3,4,,
A05471,931,,214084.0631,1,,,,1,2,3,,,,,,
A05472,932,2,77384.67318,,2,,,4,8,,,,,4,,
A05473,933,4,185554.7136,,2,,,9,15,4,,2,,,,
A05474,934,3,100420.2449,,,3,,8,,,,2,,4,5,
A05475,936,3,175300.5687,,2,,,2,,,,,,,,
A05476,931,3,55302.45014,,,3,,2,6,10,,,,,,
A05477,931,2,99188.80956,,,,4,1,15,5,,2,,,,
A05478,931,,201898.9334,1,,,,5,11,6,1,2,,,,
A05479,934,3,,,,3,,9,12,5,,,,,,
A05480,932,2,150542.2766,,,3,,1,4,6,,,,,5,
A05481,931,2,,,,3,,,,,,,3,,,
A05482,931,3,92182.63541,,,,,5,10,6,,,,,,
A05483,936,3,119500.9227,,2,,,2,1,15,,2,,,,
A05484,931,3,122277.458,,2,,,6,2,4,,,,,,6
A05485,933,3,148795.635,,,,4,12,4,7,,,,4,,
A05486,931,3,107071.293,,,,,13,3,,1,,,4,,
A05487,935,4,175207.7079,,2,,,12,8,,,,,4,,
A05488,933,3,173261.973,,2,,,9,1,7,1,2,,,,
A05489,933,4,,,,,,13,1,11,,,,,,
A05490,934,,216716.5894,,2,,,8,14,7,,,,,,
A05491,932,3,218224.8007,,,,4,,,,,,3,,,
A05492,935,3,116201.8618,,2,,,6,,,,,,,,
A05493,934,4,178413.1985,1,,,,6,,,,,,,,
A05494,931,3,116359.9056,1,,,,5,11,12,,,3,,,
A05495,931,1,103547.5425,,2,,,1,8,,,,,,,
A05496,932,3,89901.10848,1,,,,2,,,,,,,,
A05497,931,1,85442.88206,,,,,2,3,,1,,3,,5,
A05498,931,1,47932.84383,1,,,,9,1,,,2,3,,5,
A05499,934,3,121096.6678,,,,,1,14,10,,,,,,
A05500,935,3,143516.2448,1,,,,7,8,2,,2,3,,,
A05501,935,3,114915.7622,,2,,,2,13,,,,,,,
A05502,931,,80643.00653,1,,,,12,15,,,,3,,,6
A05503,932,3,125902.865,,2,,,3,,,1,2,,4,,
A05504,934,3,181262.9986,1,,,,5,2,8,,2,,,,
A05505,931,4,192877.3172,,2,,,2,13,15,,,,,,
A05506,931,3,64390.40244,1,,,,9,,,,,3,,,
A05507,934,4,143740.1645,,2,,,1,4,5,,,3,,,
A05508,931,4,200589.3826,1,,,,8,4,,,,3,4,,
A05509,935,4,143897.3307,1,,,,9,,,,2,3,,,
A05510,931,1,86591.54698,,,3,,2,6,5,,2,,,,
A05511,934,3,205007.4143,1,,,,1,8,12,,,,,,
A05512,931,3,109779.5191,,,3,,1,2,14,,,,,,
A05513,931,3,178755.2136,,,,4,4,6,,1,,,,,
A05514,934,3,174667.0401,,,3,,3,6,5,,,,4,5,
A05515,931,3,160240.6366,,,,4,8,,,,,,,,6
A05516,931,3,74602.96033,1,,,,7,6,,,2,,4,,
A05517,934,3,194403.648,1,,,,8,13,5,,,,4,,
A05518,932,,143146.7583,,2,,,2,8,5,,,,,,
A05519,933,3,104693.693,,,3,,14,12,8,,2,3,,,
A05520,931,2,115970.5534,,,,,12,,,,,,,,
A05521,935,4,222968.7777,1,,,,13,4,14,,,,,,6
A05522,935,3,165470.5065,,2,,,12,4,6,,2,,,5,
A05523,932,3,182450.2888,1,,,,3,2,,,,,,,
A05524,935,4,88285.49439,,,3,,13,8,5,,,,,,
A05525,935,4,180216.8286,,,,4,13,,,,,,4,,
A05526,932,,99903.08419,,,,4,1,8,,,,,4,,6
A05527,932,,58105.31893,1,,,,6,,,,,,,,
A05528,932,3,57571.0223,,,,4,9,5,8,,,,4,,
A05529,931,3,109571.4657,,,,4,3,8,6,,,,,5,6
A05530,934,1,88656.51842,,2,,,2,,,1,2,,,,
A05531,934,2,79284.88118,,2,,,1,3,13,1,2,3,,,6
A05532,931,2,,,2,,,2,8,1,,,,,,
A05533,931,1,72404.69171,1,,,,3,8,5,,,,4,,
A05534,933,,85452.39075,,2,,,2,5,,,,,,,
A05535,931,3,163487.7784,,,3,,13,5,,,,,,,
A05536,934,1,45888.08367,,2,,,12,7,4,,,,,,
A05537,936,4,222186.3515,,2,,,1,12,14,,,,4,,
A05538,932,3,92806.35957,,,3,,3,15,5,,2,,,,
A05539,936,3,182626.871,1,,,,6,10,,,,,,,
A05540,931,2,,,,3,,1,8,13,,,3,4,,
A05541,934,3,107185.9899,,,,,4,12,13,,,,,,
A05542,932,1,61925.62586,,2,,,1,4,,1,,,,,
A05543,931,4,,1,,,,2,4,7,,,,,,
A05544,932,,101878.1762,,2,,,1,2,,,,,,,
A05545,931,3,150469.7006,,,3,,1,,,,,,4,,
A05546,933,4,232378.0759,1,,,,7,12,11,,,,4,,
A05547,936,3,189939.8497,1,,,,8,1,5,1,,,,,
A05548,931,3,124170.3809,,2,,,3,4,10,,,,,,
A05549,931,1,82687.32937,,,3,,2,3,7,,,,4,,
A05550,936,4,,,,,4,1,2,8,,2,,,,
A05551,931,4,148414.6593,,2,,,1,3,5,,2,,,,
A05552,931,3,96714.59972,,,,,9,1,3,,,,,,
A05553,931,4,185822.563,,2,,,8,15,7,,,,,,
A05554,932,3,127316.247,,2,,,1,13,7,1,,,,,
A05555,931,4,183112.2659,,,3,,15,7,8,,,,,,
A05556,932,,61659.4922,,2,,,12,2,5,,,,,,
A05557,934,3,147896.2777,,,3,,1,6,8,,,3,,,
A05558,933,4,,,2,,,2,,,,,,,5,
A05559,933,3,110913.539,1,,,,2,13,12,1,,,,,
A05560,935,3,102246.2527,,2,,,15,2,4,,,,,,
A05561,932,3,164175.5589,,,3,,13,1,12,,2,,,,
A05562,931,3,,,,,,11,2,14,,,3,,,
A05563,933,3,102510.8327,,,3,,12,4,5,,,,,,
A05564,934,4,168459.1067,,,,4,15,1,13,,,,,,
A05565,931,4,172876.3739,,2,,,2,13,5,,,,,,
A05566,931,3,116916.4016,1,,,,12,9,14,,2,,,5,
A05567,931,3,147792.321,,,3,,11,,,,2,,,,
A05568,936,4,233919.2444,1,,,,9,5,8,,,,,,
A05569,936,4,143185.621,,,,,3,1,2,,,,4,,
A05570,934,3,117878.9999,,,3,,2,14,5,,,,,,
A05571,932,,,,,3,,11,5,,,,,,,
A05572,934,3,113033.2135,,,3,,13,,,,,,,,
A05573,934,1,52636.18898,,,3,,9,15,3,,,,,,
A05574,931,2,153921.7827,1,,,,1,,,,,,4,,
A05575,931,4,154562.7188,,2,,,2,,,,,3,,,
A05576,931,4,279097.3826,,,3,,1,5,2,,,,,,
A05577,931,3,131394.3735,1,,,,11,8,3,,,,,,
A05578,935,4,207173.0951,,2,,,3,8,6,1,2,,4,,
A05579,934,3,86253.97027,1,,,,5,6,3,,,,,,
A05580,931,4,226932.6154,,2,,,5,3,11,,,3,,,
A05581,932,4,187506.3957,,2,,,2,,,1,,,,,
A05582,933,4,,1,,,,2,4,13,,,,,,
A05583,934,3,112354.3423,1,,,,15,13,7,,,,,,
A05584,932,3,168892.2768,,2,,,2,12,3,,,,4,,
A05585,936,3,93096.66398,1,,,,5,7,12,,,,,,6
A05586,931,,110421.0254,,,,4,5,1,,,2,,,5,
A05587,931,3,137939.4751,,2,,,5,3,,1,,,,5,
A05588,931,3,,,,3,,9,1,11,,2,3,,5,
A05589,931,4,196625.7869,,2,,,13,2,5,,,3,,,
A05590,933,3,98114.44407,,,,,4,15,5,,,,,,
A05591,931,3,147269.182,1,,,,2,11,4,,,3,,,
A05592,933,2,69691.6241,1,,,,2,3,5,,,,,,
A05593,932,3,115675.3577,,,3,,2,13,5,,,,,,
A05594,933,3,98317.15206,1,,,,1,14,10,1,,3,,,
A05595,934,4,202590.6407,,,,4,11,3,8,,,,,,
A05596,936,4,184589.5662,,,,4,7,2,5,,,3,,,
A05597,931,4,,1,,,,4,6,,1,2,,,,
A05598,932,,,,2,,,3,9,4,,,,,,
A05599,935,4,222469.9883,,,3,,15,2,5,,,,,,
A05600,931,,57248.79371,,,3,,13,1,7,,,,4,,
A05601,931,3,86139.71838,,2,,,2,8,5,,,,,,
A05602,934,3,110925.7977,,2,,,3,2,4,,,,,,
A05603,932,3,119941.0683,,,,,1,3,14,,,,,,
A05604,931,,243024.0689,1,,,,15,8,5,,2,,,,
A05605,931,3,,,2,,,1,,,,,,,,
A05606,932,3,171749.5835,,2,,,,,,1,,,4,,
A05607,931,3,131211.5418,,,,4,8,5,,,,,,,
A05608,934,,172232.1469,,2,,,3,4,,,,,,,
A05609,935,4,296550.0784,,2,,,2,13,7,,,3,,,
A05610,934,4,212481.2789,,,3,,5,14,2,1,,,4,,
A05611,931,3,83808.30118,1,,,,13,5,,,,3,4,,
A05612,931,3,226444.1742,1,,,,13,1,5,,,3,,,
A05613,936,3,89065.36999,,,,,12,10,6,,,,,,
A05614,932,3,145528.7606,,,,4,9,8,3,,,3,,5,
A05615,932,3,78832.65081,,2,,,1,3,13,,,,,,
A05616,934,3,114081.5244,1,,,,5,1,,,,,,,
A05617,931,,,,2,,,12,8,,,,,,,
A05618,932,3,184064.0126,,2,,,2,4,12,,,3,4,,
A05619,932,3,96060.48738,1,,,,3,13,4,,,,,,
A05620,936,,63288.44792,1,,,,4,15,5,,,,,,
A05621,931,4,253144.5854,1,,,,1,,,,,,,,
A05622,934,,68737.5675,,,3,,1,13,3,,,,,,
A05623,932,1,43336.99318,1,,,,3,6,4,,2,,,,6
A05624,934,,60460.34313,,,,,2,,,,2,,,,
A05625,931,4,79322.42675,,2,,,2,4,,,,3,,,
A05626,932,3,60127.98583,,,3,,3,2,13,,,,,5,
A05627,935,4,130491.5491,,2,,,4,6,8,,2,,,,
A05628,931,,128793.0873,,2,,,2,10,13,,,,,,
A05629,936,3,,,2,,,11,12,5,1,,,,,
A05630,931,,121654.6057,,2,,,2,8,13,,,,,,
A05631,931,2,98015.11248,,,,4,,,,1,,,,,
A05632,933,3,129120.794,1,,,,5,3,7,,,3,4,,
A05633,934,4,130334.2587,,,,,13,7,15,,2,,4,,
A05634,931,2,57255.80879,,,,4,13,6,4,,,,,,
A05635,934,3,145766.4149,1,,,,1,2,3,,,,,,
A05636,931,,70645.38575,,,3,,2,14,3,1,,,,,
A05637,934,2,71919.19694,,2,,,2,,,,,,,,
A05638,933,,140859.0295,1,,,,8,11,,,,,,,
A05639,934,,87483.1925,,,3,,9,11,12,,,,,,
A05640,934,5,204399.3807,,2,,,3,4,13,,,,,,
A05641,934,3,113716.9233,,2,,,5,,,,,,,,
A05642,933,4,230102.0671,,,,4,1,,,,2,,,,
A05643,931,,123474.9773,,,,4,1,8,13,1,2,,,,6
A05644,931,1,,,2,,,5,3,,1,,,,,
A05645,931,3,163576.0035,,,,,1,2,13,,,3,,,
A05646,933,5,226967.0987,,2,,,13,,,,,3,,,
A05647,934,3,114021.3769,,,,,5,2,11,,,3,,,
A05648,931,5,270633.9207,,,,,9,5,4,,,,4,,
A05649,931,1,48037.58545,,,3,,13,3,,,2,,,,
A05650,932,3,90523.99569,,,3,,9,1,15,,,,,,
A05651,931,,207111.8464,,,,,2,11,8,,,,4,,
A05652,932,2,86243.1368,,,3,,3,7,2,,,,,5,
A05653,936,3,170645.0549,1,,,,1,2,5,,2,,,,
A05654,934,4,164467.9197,,2,,,15,13,4,,,,,,
A05655,931,3,75620.72653,1,,,,2,13,3,,,,,,
A05656,933,2,160521.7895,1,,,,1,6,3,,,,,,
A05657,931,,196672.1126,,,3,,2,,,,,,,,
A05658,934,3,82014.50868,,,3,,2,1,13,,,,4,5,
A05659,931,1,118601.1756,,,3,,2,,,,,,,,
A05660,932,3,59733.66928,,,3,,3,8,5,,,,,,
A05661,934,3,165247.0424,1,,,,9,,,,2,,,,
A05662,931,4,141862.5014,1,,,,8,3,13,1,,,,,
A05663,931,3,99537.95727,,,,,13,,,,,,,,
A05664,932,5,,,2,,,1,,,,2,,,,
A05665,935,4,239193.7902,1,,,,6,3,7,,,,,,
A05666,932,4,209785.2778,,,,,2,3,8,,,,4,,
A05667,935,3,,,,3,,7,5,,1,2,,4,,
A05668,934,3,200460.2106,,,,4,9,13,5,,,,,,
A05669,931,2,,,2,,,3,15,13,,,,,,
A05670,934,1,41627.14302,,2,,,2,,,,,,,,
A05671,935,3,52897.65225,,2,,,3,4,14,,,3,,,
A05672,935,3,89895.86919,,2,,,1,5,7,,,,,,
A05673,935,3,107164.762,1,,,,3,1,4,,,,4,,
A05674,931,3,167469.1473,,2,,,1,7,5,1,,,,,
A05675,931,4,197485.1217,,,3,,5,1,,,,,4,,
A05676,932,1,42281.66406,,,3,,12,2,4,1,,,,,
A05677,931,3,71327.86961,,,3,,5,8,7,,,,,,
A05678,936,5,230027.5017,,2,,,11,12,3,,,,4,,
A05679,932,4,167942.6221,1,,,,1,8,5,,,3,,,
A05680,931,4,157944.908,,2,,,9,2,4,,,,,,
A05681,934,3,191866.3966,,2,,,5,3,,,2,,,,
A05682,935,4,,,2,,,1,12,,,,,,,
A05683,931,3,107918.3941,1,,,,11,1,,,,,,,6
A05684,931,,139668.5479,,,,4,15,7,5,,,3,,,
A05685,931,4,195887.505,,,3,,1,5,8,,,,,,
A05686,932,4,176206.6621,,2,,,1,15,8,1,,,,,
A05687,931,4,,1,,,,1,4,10,1,,,,,
A05688,934,1,90596.37039,,,3,,12,,,,,,,,
A05689,934,4,,1,,,,4,,,,2,,,,
A05690,934,3,129111.1235,,,,,1,,,,,3,,,
A05691,931,3,121205.0752,,2,,,3,1,2,,2,,,,
A05692,934,3,121007.5538,,,,,3,13,,,,,,,
A05693,933,3,141243.6107,,,,4,1,,,,,,,,
A05694,932,,177522.8889,,2,,,4,2,12,1,,,4,,
A05695,932,,136035.6281,,2,,,1,11,7,1,,,,,
A05696,932,3,107887.6196,1,,,,4,1,,1,,,,,
A05697,936,3,132980.9059,1,,,,3,14,15,1,,,,,
A05698,934,3,139344.3766,,2,,,5,1,,1,,3,,,6
A05699,932,,132914.4797,1,,,,5,13,3,,,,,,
A05700,933,,90278.08791,1,,,,1,,,1,,,,,
A05701,931,3,124164.9012,1,,,,2,7,8,,2,,,,
A05702,932,3,78245.53187,,2,,,1,12,8,,2,,4,,
A05703,931,4,308023.1131,,,3,,15,2,,1,,3,,,
A05704,931,1,,1,,,,1,2,5,,,,,,
A05705,931,1,53021.52712,,,,4,2,1,7,1,,,,,
A05706,934,3,121011.1586,1,,,,2,12,10,1,,,,,
A05707,934,4,111194.9795,,2,,,2,8,5,1,,,,,
A05708,931,3,131989.4718,,,3,,1,,,,,,4,,
A05709,931,2,86247.45424,,2,,,1,3,5,,,,,5,
A05710,931,3,65896.98774,,2,,,2,1,5,,,,,,
A05711,933,,213975.6384,1,,,,13,1,,,2,,,,
A05712,932,3,134779.9863,,,,,1,2,5,,,,,,
A05713,931,3,190114.5903,,,3,,9,7,5,,,,,,
A05714,933,3,106846.1053,1,,,,9,3,,,,,,,
A05715,934,,116244.6055,1,,,,12,1,13,,,,,5,
A05716,933,,153112.601,,,,,1,4,3,,,,,,
A05717,934,3,49065.54445,,,3,,12,15,3,,,3,4,,
A05718,932,3,92479.21465,,2,,,1,2,,,,,,,
A05719,934,1,,,,,,9,,,1,2,,,,
A05720,932,4,204127.7216,,,,,9,2,7,,2,3,,,
A05721,931,1,108933.4966,,2,,,1,2,5,,2,,,,
A05722,932,3,115704.801,,2,,,3,13,,,,,,,
A05723,931,3,72834.2872,,2,,,5,,,,,,,,
A05724,935,4,128777.0222,,2,,,6,5,,,,,4,,
A05725,935,3,150667.1804,1,,,,13,2,7,,,,,,
A05726,931,3,186820.3695,1,,,,7,2,3,,2,,4,,6
A05727,931,4,214451.8727,,,3,,1,7,5,,,,,,
A05728,931,3,,,,3,,2,15,,,,,,,
A05729,932,2,52781.5418,,,,,2,15,3,,,,,,
A05730,932,2,,,2,,,9,1,13,,,,,,
A05731,936,3,139198.5974,,,3,,7,13,,1,,,,,
A05732,931,4,,1,,,,12,13,8,,,,,,6
A05733,931,4,187677.8693,,,3,,11,12,6,,,,,,
A05734,934,,208589.1093,1,,,,4,2,,,,,,,
A05735,931,3,154804.2993,1,,,,,,,,2,,,,
A05736,934,3,,,2,,,6,5,,1,,,,,
A05737,931,4,205249.5001,,,,,2,,,,2,,4,,
A05738,933,3,,,,3,,1,2,6,,,,,,
A05739,932,3,99739.52034,,2,,,11,15,12,,,3,,,
A05740,935,3,232677.4444,,2,,,2,15,3,,,,,,
A05741,934,3,64101.85259,1,,,,12,6,8,,2,,,,
A05742,932,3,71137.13114,,2,,,13,2,,,,,4,,
A05743,931,5,178497.7535,1,,,,2,8,4,,,,,,
A05744,931,3,,1,,,,3,7,4,,,,,,
A05745,931,3,175701.8904,1,,,,2,4,14,1,2,,4,,
A05746,934,4,278482.7889,,,,,8,,,,,,,,
A05747,934,2,72190.56555,1,,,,13,1,3,,2,,4,,
A05748,935,3,51066.86992,,2,,,12,5,,,,,,,
A05749,933,,73560.12667,,,3,,7,2,4,,,,4,,
A05750,932,3,127202.7401,,,3,,8,,,,,,,5,
A05751,934,,80378.15085,,2,,,5,,,,,,,,
A05752,935,5,208897.9608,1,,,,9,6,,,,,,,
A05753,936,3,206489.1988,1,,,,1,3,4,,,,4,,
A05754,931,3,77358.2716,1,,,,12,14,6,,,,,,
A05755,932,,95479.57887,1,,,,11,7,,1,,,,,
A05756,931,3,147091.545,,,3,,12,6,8,,,,,,
A05757,932,4,,,2,,,3,4,8,,2,,,5,
A05758,935,4,262403.6075,,2,,,1,14,4,,,,,,
A05759,931,3,125137.3741,1,,,,3,7,6,,,,,,
A05760,935,3,108349.45,,,3,,3,1,,,,,4,,
A05761,933,,180760.7616,,,3,,11,2,4,,,,,,
A05762,931,,,,,,4,13,2,3,,,3,4,,
A05763,935,1,94400.61824,1,,,,7,2,13,,,,,,
A05764,931,1,69002.03587,,2,,,1,5,6,,,3,,,
A05765,931,3,165982.5569,,,,,1,4,10,,,,,,
A05766,934,5,177563.2287,1,,,,11,4,7,,,,,,
A05767,934,4,216996.2038,,,,4,8,7,12,,,,4,,
A05768,931,4,283980.3028,,2,,,2,9,6,,2,,,,
A05769,932,4,204236.9018,,2,,,1,3,8,,,,,,
A05770,934,3,114004.076,,,,4,,,,,,,,,
A05771,931,4,,,,,,1,12,5,,,,,,
A05772,935,4,206715.0135,,2,,,7,2,,,,,,,
A05773,931,4,108947.6748,,,,,1,15,5,,,,4,,
A05774,932,,131649.4666,,,,4,,,,,,,,,
A05775,931,3,153362.3646,,,3,,2,1,5,,,,,,
A05776,931,3,169901.354,,2,,,15,3,2,,,,,,
A05777,934,3,106885.5728,1,,,,11,8,3,1,,,,,
A05778,932,4,146556.9721,,,3,,1,3,,,2,3,,5,
A05779,933,3,85073.98098,1,,,,4,,,,,,4,,6
A05780,933,3,164635.1654,,2,,,2,15,5,1,,3,,,
A05781,936,3,131634.9577,,2,,,5,14,,,,,,,
A05782,931,3,158771.6739,,,,,4,7,8,,,,,5,
A05783,931,3,129293.5648,,,3,,2,3,,,2,,,,
A05784,935,3,162140.7065,,,,4,2,15,7,1,,,4,,
A05785,931,4,159709.7677,,,,4,9,2,13,,,,,,
A05786,931,3,101815.0225,,,,4,9,4,5,,,,,,
A05787,935,1,106455.1173,,2,,,13,2,5,,2,3,,,
A05788,934,,126677.9083,,,,,,,,1,,,,,
A05789,933,3,113320.1872,,2,,,8,4,13,,,,,,
A05790,934,4,,,,,4,9,4,5,,,3,,,
A05791,931,3,135077.0135,1,,,,,,,1,,3,,,
A05792,932,1,,1,,,,6,5,13,,,,4,,
A05793,934,4,233785.5735,,,,,5,1,15,,2,3,,,
A05794,932,3,126758.7646,,2,,,2,13,4,1,,,4,,
A05795,935,5,186760.319,,,,4,7,6,8,,2,,,,
A05796,931,1,116987.8727,,,,4,1,5,14,,2,,,,
A05797,933,,111064.9948,,,3,,5,8,15,,,,,5,
A05798,933,5,191117.2597,,2,,,12,15,8,1,,3,,5,
A05799,936,5,191296.6111,1,,,,1,8,14,,,3,4,,6
A05800,935,3,158495.5005,1,,,,6,5,4,,,,,,
A05801,934,,220543.8466,,2,,,11,12,3,,,,,,
A05802,933,3,83173.92415,,,3,,13,11,,1,,,,,
A05803,931,,99298.5814,,2,,,2,,,,,3,,,
A05804,934,4,214498.9953,,,,4,5,7,,,,3,4,,
A05805,936,3,164598.4473,,2,,,8,7,3,,,,,,
A05806,934,3,124118.048,1,,,,7,4,11,,,,,,
A05807,934,2,,,,,,7,5,,1,,,,,
A05808,934,2,75972.03218,,2,,,15,2,6,,2,,,,
A05809,935,,167315.213,,,,,12,5,,,,3,,,
A05810,934,4,174716.3859,,2,,,5,8,,1,,,4,,
A05811,931,1,59337.04836,,,,,2,12,11,1,,,,5,
A05812,934,,295692.3652,,2,,,5,11,3,,,,,,
A05813,931,4,163096.8234,1,,,,1,11,12,,,,,,
A05814,931,2,85592.32522,,2,,,9,3,5,,,3,,,
A05815,931,4,243357.9605,,,,4,1,,,1,2,,,,
A05816,931,4,155888.0737,,2,,,9,10,12,,,,4,,
A05817,932,,,1,,,,1,5,,,,,,,
A05818,933,3,79099.23233,,2,,,2,1,12,,,,4,,
A05819,934,3,98195.76786,,2,,,13,4,5,,,,,,
A05820,933,2,,,2,,,1,3,14,,,,,,
A05821,936,4,171195.172,,2,,,3,13,7,,,,4,,
A05822,936,3,61977.2971,1,,,,2,15,4,,,,,,
A05823,931,3,137915.4267,1,,,,3,14,,,2,,,,
A05824,931,4,209656.7572,,2,,,2,,,,2,,,,
A05825,934,3,113022.6865,1,,,,13,1,4,,,,,,
A05826,934,4,160336.0869,,2,,,3,1,5,1,2,3,,,
A05827,931,4,269299.0697,,,,,11,3,,,,,4,,
A05828,935,3,121256.4756,1,,,,6,4,12,1,2,,,,
A05829,934,3,121636.7655,,,3,,12,15,,,,3,,5,
A05830,931,3,155568.8274,,2,,,3,,,,,,,,
A05831,931,1,50318.09132,,2,,,5,9,3,,,,,,
A05832,931,3,77727.40673,,2,,,,,,1,,,,,
A05833,936,4,,,,,,7,3,14,1,2,3,4,5,
A05834,931,3,170625.0729,1,,,,7,3,14,,,,4,,
A05835,931,,124579.5226,,2,,,9,2,11,,,,,5,
A05836,931,3,72175.8283,,,,4,11,8,5,,,,,,
A05837,932,2,78653.81764,,2,,,12,2,8,,,,,5,
A05838,932,,188513.9849,,,3,,14,2,5,,,,,5,
A05839,931,2,121079.5608,,,,,1,14,7,1,2,,,,
A05840,934,2,58530.65554,,2,,,2,4,,1,,,,,
A05841,931,3,166249.9463,,,,4,7,2,,,,,4,,
A05842,932,5,227001.7829,1,,,,2,5,14,,,,4,,
A05843,931,,,,,3,,1,6,3,,,,,5,
A05844,931,3,210775.6682,,2,,,13,7,6,1,,,,5,
A05845,935,4,88751.17921,,,3,,9,8,4,,,,4,,6
A05846,935,3,148281.9168,,2,,,7,11,3,,,3,,,
A05847,931,3,56219.13262,1,,,,13,5,3,,,3,,,
A05848,935,4,145416.9327,,,3,,1,15,,,,,4,,
A05849,931,3,156824.1328,,,,4,2,,,1,,,,5,
A05850,931,2,118268.8982,1,,,,7,5,,,,,,,
A05851,931,3,,,,,4,2,8,4,,,,4,,
A05852,934,1,53861.72435,,,,4,3,1,13,,,,,,
A05853,931,4,181410.745,,2,,,12,2,5,,,,,,
A05854,935,4,,,,3,,6,5,14,1,,3,,,
A05855,935,4,133427.9169,,,,,9,13,7,,,,,,
A05856,931,3,108802.5587,,,,4,1,15,7,,2,,,5,
A05857,931,3,201274.1859,,2,,,4,5,14,,2,,,,
A05858,932,3,,,,,,7,,,,,,,,
A05859,934,3,99486.98309,,2,,,5,12,13,1,,,,,
A05860,932,3,153277.141,,,,4,5,8,7,,,,,,
A05861,931,4,141524.3209,,2,,,15,2,8,1,,,,,
A05862,936,3,58384.4881,,,,,6,13,5,,,3,,,
A05863,934,3,92202.08841,,2,,,3,2,13,,,,,,
A05864,935,2,147810.6019,,2,,,5,12,4,,,,,5,
A05865,932,4,105893.2707,1,,,,1,,,,,,,,
A05866,931,3,97841.02122,,2,,,2,8,13,1,2,,4,,
A05867,931,2,117456.6342,,2,,,3,1,5,,,3,,5,
A05868,934,2,,,2,,,8,,,,,,,,
A05869,933,3,91739.34515,,,3,,4,,,,2,,,,
A05870,934,3,169098.2406,,2,,,5,11,,,2,,,,
A05871,932,3,223078.3334,,2,,,9,3,8,,2,3,,,
A05872,933,3,123966.5453,,2,,,13,8,7,,,3,,,
A05873,932,3,84661.31506,1,,,,11,6,5,,2,,,,
A05874,934,2,66302.91233,1,,,,5,1,11,,,,,,
A05875,934,4,166653.7456,,,3,,11,2,7,,2,,,,
A05876,934,4,,1,,,,1,4,,,,,,,
A05877,933,4,110351.3123,,2,,,6,13,3,,,,,,
A05878,935,1,71614.6722,,2,,,1,2,5,,,,4,,
A05879,935,3,97909.90098,,,3,,1,13,5,,,,,,
A05880,931,1,82261.7028,,,,4,13,3,,,,,,,
A05881,933,3,102755.8734,,2,,,13,11,3,1,2,,,5,6
A05882,936,2,98724.73349,,,3,,11,1,15,,2,3,,,
A05883,932,2,93265.68888,,,,4,1,2,7,,,,4,,
A05884,933,3,124626.2319,,,3,,1,13,15,,,3,,,
A05885,935,2,89394.91175,,2,,,2,3,6,,2,,,,
A05886,933,4,180295.4447,,,3,,,,,1,,,,5,
A05887,936,4,170757.6982,1,,,,1,,,1,2,,,5,
A05888,931,5,219070.6277,1,,,,3,13,12,,,,,,
A05889,932,4,173587.8135,,,,,3,10,5,1,2,,,,
A05890,931,1,45572.77118,1,,,,5,8,11,,,,,,
A05891,931,4,125935.4732,,2,,,2,,,,,,4,,
A05892,934,3,,1,,,,9,8,7,,,,,,
A05893,931,3,95284.51115,,,,,1,,,,,,,,
A05894,931,3,106809.8942,,,,,11,12,6,,,,,,
A05895,933,3,,1,,,,2,11,,,,,,,
A05896,934,4,231184.6532,,2,,,1,,,,,3,,,
A05897,934,3,96346.95172,,,,4,1,3,13,,,,,5,
A05898,931,3,66166.08021,,,,4,2,,,,,,4,,
A05899,931,4,220237.2062,,,,4,2,5,,,2,,,,
A05900,936,3,137207.7242,,2,,,1,9,8,1,,,,5,
A05901,934,3,155376.8521,,,3,,6,,,1,2,,4,,
A05902,933,1,,,2,,,15,3,,,,,,,
A05903,935,1,63119.73444,1,,,,1,8,3,,2,,,,
A05904,931,4,113039.6016,1,,,,5,2,7,,2,,,5,
A05905,931,3,171734.1102,,,,,12,2,5,,,,,,
A05906,935,2,83610.57129,,,,4,4,,,,2,3,4,,
A05907,931,4,231009.2415,1,,,,5,2,7,1,,3,,,
A05908,932,3,133866.6963,,,,4,1,15,12,,,,,,
A05909,935,1,54414.00795,,2,,,9,13,5,,,,,5,
A05910,933,4,,,2,,,1,9,5,,,,,,
A05911,933,3,,,2,,,13,12,,,,,,,
A05912,931,3,127215.0401,,2,,,7,5,15,,,,,5,
A05913,932,3,75556.48975,,2,,,2,,,,2,,4,,
A05914,934,2,133884.3074,,2,,,12,13,5,,,,,,
A05915,934,4,201503.4721,,2,,,1,,,,,3,,,
A05916,931,3,164990.1491,,,3,,2,7,6,,2,,,,
A05917,931,3,115286.8705,,2,,,4,,,,,,,,
A05918,936,2,90465.86528,,2,,,8,7,,,,,4,,
A05919,934,5,211347.145,,2,,,5,1,,,2,3,4,5,
A05920,936,4,207967.3918,,2,,,3,6,4,,2,,,,
A05921,933,3,189933.7744,,2,,,12,3,13,,,,,5,
A05922,935,2,84732.95102,,,,4,1,12,5,,2,,4,,
A05923,934,3,83478.31776,,2,,,8,4,5,,,3,,,
